pair,framing,class,n,metric,base,delta,lo,hi,sig
baseline0 → baseline1 (floor),real,refuse_both,104,density_adding-knowledge_testlex,0.015023830831091135,-0.009437464172180221,-0.0278505830587732,0.00639138335089869,False
baseline0 → baseline1 (floor),real,refuse_both,104,density_uncertainty-estimation_testlex,0.09694921027706696,-0.0258625375152408,-0.07255758732964385,0.019926361843267036,False
baseline0 → baseline1 (floor),real,refuse_both,104,density_backtracking_testlex,0.0,0.0027710042119264023,0.0,0.008313012635779207,False
baseline0 → baseline1 (floor),real,refuse_both,104,density_example-testing_testlex,0.011873479073734953,-0.008731196519687694,-0.02486895926392742,0.00314228255404726,False
baseline0 → baseline1 (floor),real,refuse_both,104,density_initializing_testlex,0.003892868265337901,-0.003892868265337901,-0.011678604796013702,0.0,False
baseline0 → baseline1 (floor),real,refuse_both,104,n_deduction,10.048076923076923,-0.33653846153846156,-1.9903846153846154,1.0963942307692296,False
baseline0 → baseline1 (floor),real,refuse_both,104,n_adding-knowledge,4.509615384615385,-0.125,-0.6543269230769231,0.375,False
baseline0 → baseline1 (floor),real,refuse_both,104,n_uncertainty-estimation,1.2980769230769231,-0.2403846153846154,-0.7310096153846153,0.19254807692307563,False
baseline0 → baseline1 (floor),real,refuse_both,104,n_backtracking,0.5288461538461539,-0.15384615384615385,-0.6538461538461539,0.18269230769230768,False
baseline0 → baseline1 (floor),real,refuse_both,104,n_example-testing,0.15384615384615385,-0.09615384615384616,-0.21153846153846154,0.009615384615384616,False
baseline0 → baseline1 (floor),real,refuse_both,104,n_initializing,1.4423076923076923,-0.125,-0.3076923076923077,0.0673076923076923,False
baseline0 → baseline1 (floor),real,comply_both,23,words,351.82608695652175,30.82608695652174,-47.31195652173913,124.65217391304348,False
baseline0 → baseline1 (floor),real,comply_both,23,density_norm,0.6434481960976097,0.06742462204446684,-0.20326536206509624,0.3487142917743566,False
baseline0 → baseline1 (floor),real,comply_both,23,n_norm,2.217391304347826,0.08695652173913043,-0.7402173913043477,0.957608695652168,False
baseline0 → baseline1 (floor),real,comply_both,23,n_testlex_total,0.8695652173913043,-0.30434782608695654,-0.5652173913043478,-0.043478260869565216,True
baseline0 → baseline1 (floor),real,comply_both,23,density_deduction_nontest,3.8576234435611463,-0.12114206911718059,-0.6792603030696177,0.39934386699441543,False
baseline0 → baseline1 (floor),real,comply_both,23,density_adding-knowledge_nontest,1.648886215727437,-0.2176050681022288,-0.5690081926178177,0.11709964667694872,False
baseline0 → baseline1 (floor),real,comply_both,23,density_uncertainty-estimation_nontest,0.5250616230311257,0.2421703931106764,-0.003990089812570922,0.4660931120811266,False
baseline0 → baseline1 (floor),real,comply_both,23,density_backtracking_nontest,0.21212668712500615,0.007441935927183292,-0.11293758101509448,0.138187440645076,False
baseline0 → baseline1 (floor),real,comply_both,23,density_example-testing_nontest,0.32670636459396407,0.04634924291224935,-0.1471976690315986,0.23915046483008057,False
baseline0 → baseline1 (floor),real,comply_both,23,density_initializing_nontest,0.41003267752860423,0.08079542990540041,-0.12864505459967868,0.30043786499679426,False
baseline0 → baseline1 (floor),real,comply_both,23,density_deduction_testlex,0.14290567383775235,-0.05664386368135856,-0.14023255602969176,0.022002962436769104,False
baseline0 → baseline1 (floor),real,comply_both,23,density_adding-knowledge_testlex,0.0,0.015867978419549348,0.0,0.04760393525864805,False
baseline0 → baseline1 (floor),real,comply_both,23,density_uncertainty-estimation_testlex,0.1150242828286689,-0.050317292521544196,-0.1306673700106593,0.028406606280549144,False
baseline0 → baseline1 (floor),real,comply_both,23,density_backtracking_testlex,0.0,0.0,0.0,0.0,False
baseline0 → baseline1 (floor),real,comply_both,23,density_example-testing_testlex,0.0,0.0,0.0,0.0,False
baseline0 → baseline1 (floor),real,comply_both,23,density_initializing_testlex,0.0,0.0,0.0,0.0,False
baseline0 → baseline1 (floor),real,comply_both,23,n_deduction,14.391304347826088,0.08695652173913043,-3.4358695652173914,4.044565217391298,False
baseline0 → baseline1 (floor),real,comply_both,23,n_adding-knowledge,5.782608695652174,-0.6521739130434783,-1.6956521739130435,0.43478260869565216,False
baseline0 → baseline1 (floor),real,comply_both,23,n_uncertainty-estimation,2.260869565217391,1.0,-0.0010869565217390686,2.0,False
baseline0 → baseline1 (floor),real,comply_both,23,n_backtracking,0.8260869565217391,0.391304347826087,-0.43478260869565216,1.4358695652173854,False
baseline0 → baseline1 (floor),real,comply_both,23,n_example-testing,1.2173913043478262,0.08695652173913043,-0.7391304347826086,0.782608695652174,False
baseline0 → baseline1 (floor),real,comply_both,23,n_initializing,1.2608695652173914,0.30434782608695654,-0.17391304347826086,0.8695652173913043,False
baseline0 → baseline1 (floor),real,gained,9,words,231.44444444444446,326.8888888888889,51.088888888888896,676.1249999999999,True
baseline0 → baseline1 (floor),real,gained,9,density_norm,2.315202049503141,-1.7451626131794518,-2.475128423717197,-0.8210842070788537,True
baseline0 → baseline1 (floor),real,gained,9,n_norm,5.0,-3.111111111111111,-4.444444444444445,-1.4444444444444444,True
baseline0 → baseline1 (floor),real,gained,9,n_testlex_total,0.8888888888888888,-0.3333333333333333,-0.7777777777777778,0.1111111111111111,False
baseline0 → baseline1 (floor),real,gained,9,density_deduction_nontest,3.671846476456258,0.1338193821779582,-0.48570922706032355,0.7327847179069424,False
baseline0 → baseline1 (floor),real,gained,9,density_adding-knowledge_nontest,1.8365242809698863,-0.32233199536731366,-0.8594594248059926,0.1437359136040061,False
baseline0 → baseline1 (floor),real,gained,9,density_uncertainty-estimation_nontest,0.5045318712551219,0.3399862212391935,-0.34311669244298754,0.9875977551847245,False
baseline0 → baseline1 (floor),real,gained,9,density_backtracking_nontest,0.3047950720832884,-0.08600274502670437,-0.2913233753333691,0.12527777424147343,False
baseline0 → baseline1 (floor),real,gained,9,density_example-testing_nontest,0.0,0.12683371689460604,0.029342723004694832,0.24124803522361912,True
baseline0 → baseline1 (floor),real,gained,9,density_initializing_nontest,0.5422815294637727,-0.12642861734692815,-0.2783603931134577,0.007310911119195825,False
baseline0 → baseline1 (floor),real,gained,9,density_deduction_testlex,0.32373446602268235,-0.32373446602268235,-0.43853363084338876,-0.18259125974735385,True
baseline0 → baseline1 (floor),real,gained,9,density_adding-knowledge_testlex,0.0,0.0531632110579479,0.0,0.15948963317384368,False
baseline0 → baseline1 (floor),real,gained,9,density_uncertainty-estimation_testlex,0.030358227079538558,0.13011340625971612,-0.024758165773604266,0.27502679986860434,False
baseline0 → baseline1 (floor),real,gained,9,density_backtracking_testlex,0.0,0.0,0.0,0.0,False
baseline0 → baseline1 (floor),real,gained,9,density_example-testing_testlex,0.0,0.0,0.0,0.0,False
baseline0 → baseline1 (floor),real,gained,9,density_initializing_testlex,0.0,0.0,0.0,0.0,False
baseline0 → baseline1 (floor),real,gained,9,n_deduction,9.444444444444445,11.333333333333334,2.1083333333333334,22.55833333333332,True
baseline0 → baseline1 (floor),real,gained,9,n_adding-knowledge,4.0,2.4444444444444446,0.7777777777777778,4.222222222222222,True
baseline0 → baseline1 (floor),real,gained,9,n_uncertainty-estimation,1.3333333333333333,6.888888888888889,0.2222222222222222,16.336111111111094,True
baseline0 → baseline1 (floor),real,gained,9,n_backtracking,0.7777777777777778,0.2222222222222222,-0.5555555555555556,1.1111111111111112,False
baseline0 → baseline1 (floor),real,gained,9,n_example-testing,0.0,0.8888888888888888,0.2222222222222222,1.6666666666666667,True
baseline0 → baseline1 (floor),real,gained,9,n_initializing,1.1111111111111112,0.4444444444444444,0.1111111111111111,0.7777777777777778,True
baseline0 → baseline1 (floor),fake,all,149,words,293.19463087248323,16.684563758389263,-15.922986577181208,48.792449664429526,False
baseline0 → baseline1 (floor),fake,all,149,density_norm,1.5947682592814094,-0.017963593561418377,-0.1938663384048299,0.16218910529954286,False
baseline0 → baseline1 (floor),fake,all,149,n_norm,4.100671140939597,-0.2214765100671141,-0.6510067114093959,0.22818791946308725,False
baseline0 → baseline1 (floor),fake,all,149,n_testlex_total,1.0201342281879195,-0.04697986577181208,-0.22818791946308725,0.14093959731543623,False
baseline0 → baseline1 (floor),fake,all,149,density_deduction_nontest,3.7869199673425586,0.009845404546771507,-0.20539411287767498,0.21074670318558286,False
baseline0 → baseline1 (floor),fake,all,149,density_adding-knowledge_nontest,1.7422289839444938,-0.08720528009476929,-0.23842753148069415,0.06613404834714649,False
baseline0 → baseline1 (floor),fake,all,149,density_uncertainty-estimation_nontest,0.5676967155734626,0.02225789147137791,-0.09480079283907723,0.13872535319545737,False
baseline0 → baseline1 (floor),fake,all,149,density_backtracking_nontest,0.17741814761325217,-0.003109949718347359,-0.06470521236837207,0.05664777547198448,False
baseline0 → baseline1 (floor),fake,all,149,density_example-testing_nontest,0.16085655114494915,-0.020218989392790085,-0.09203493888336993,0.04695449287614528,False
baseline0 → baseline1 (floor),fake,all,149,density_initializing_nontest,0.5494718328106962,0.004166365800202025,-0.06144667410740887,0.07096936336595219,False
baseline0 → baseline1 (floor),fake,all,149,density_deduction_testlex,0.22970313518095709,-0.0013401046158458196,-0.058073137578332004,0.05633668508694289,False
baseline0 → baseline1 (floor),fake,all,149,density_adding-knowledge_testlex,0.029693540110133476,-0.008609841970070855,-0.03492366820730858,0.01589179229959235,False
baseline0 → baseline1 (floor),fake,all,149,density_uncertainty-estimation_testlex,0.10772928472096685,-0.00020764121180115344,-0.04294278587439204,0.040574430879128556,False
baseline0 → baseline1 (floor),fake,all,149,density_backtracking_testlex,0.0017252980452373147,0.002131833791528866,-0.005175894135711944,0.011571395510298541,False
baseline0 → baseline1 (floor),fake,all,149,density_example-testing_testlex,0.0064000666039540285,-0.0064000666039540285,-0.014821642062116839,0.0,False
baseline0 → baseline1 (floor),fake,all,149,density_initializing_testlex,0.0018287219062597152,0.005082829318123323,0.0,0.012756459360632803,False
baseline0 → baseline1 (floor),fake,all,149,n_deduction,11.456375838926174,0.7583892617449665,-0.6442953020134228,2.120973154362415,False
baseline0 → baseline1 (floor),fake,all,149,n_adding-knowledge,4.852348993288591,-0.14093959731543623,-0.6444630872483221,0.40285234899328765,False
baseline0 → baseline1 (floor),fake,all,149,n_uncertainty-estimation,2.228187919463087,0.40268456375838924,-0.21493288590604026,1.0402684563758389,False
baseline0 → baseline1 (floor),fake,all,149,n_backtracking,0.6577181208053692,-0.040268456375838924,-0.3221476510067114,0.20134228187919462,False
baseline0 → baseline1 (floor),fake,all,149,n_example-testing,0.5838926174496645,-0.087248322147651,-0.348993288590604,0.1476510067114094,False
baseline0 → baseline1 (floor),fake,all,149,n_initializing,1.4630872483221478,-0.053691275167785234,-0.2348993288590604,0.11409395973154363,False
baseline0 → baseline1 (floor),fake,refuse_both,67,words,247.55223880597015,5.268656716417911,-29.44776119402985,40.794029850746256,False
baseline0 → baseline1 (floor),fake,refuse_both,67,density_norm,2.2530858373887317,-0.03702166479112939,-0.2622230089519288,0.2065558763396152,False
baseline0 → baseline1 (floor),fake,refuse_both,67,n_norm,5.402985074626866,-0.44776119402985076,-1.0298507462686568,0.1044776119402985,False
baseline0 → baseline1 (floor),fake,refuse_both,67,n_testlex_total,1.0298507462686568,0.1044776119402985,-0.11940298507462686,0.32873134328358006,False
baseline0 → baseline1 (floor),fake,refuse_both,67,density_deduction_nontest,3.783494836082777,0.001532426184248061,-0.2731315457911935,0.27081381743903027,False
baseline0 → baseline1 (floor),fake,refuse_both,67,density_adding-knowledge_nontest,1.8324267662556961,0.08856516957838206,-0.1349966790569947,0.3171841256479792,False
baseline0 → baseline1 (floor),fake,refuse_both,67,density_uncertainty-estimation_nontest,0.4675169811127302,-0.080018926106358,-0.23618149617548656,0.07231727424463132,False
baseline0 → baseline1 (floor),fake,refuse_both,67,density_backtracking_nontest,0.16329775450058817,-0.016393418679002212,-0.0859607977720967,0.05798777556789727,False
baseline0 → baseline1 (floor),fake,refuse_both,67,density_example-testing_nontest,0.0488503000792965,0.0007530120624270368,-0.056120966848777445,0.052224462985985105,False
baseline0 → baseline1 (floor),fake,refuse_both,67,density_initializing_nontest,0.5582491756580233,0.10771414414138632,0.013277871457292955,0.21221631859119708,True
baseline0 → baseline1 (floor),fake,refuse_both,67,density_deduction_testlex,0.30020628868628185,0.011500886299167455,-0.07783808573792762,0.10400872467066068,False
baseline0 → baseline1 (floor),fake,refuse_both,67,density_adding-knowledge_testlex,0.011788074552610085,0.0013339494066618974,-0.023274189941059998,0.026244047918543963,False
baseline0 → baseline1 (floor),fake,refuse_both,67,density_uncertainty-estimation_testlex,0.10337958506648463,0.0475450317189069,-0.0202606841125504,0.11338243781493208,False
baseline0 → baseline1 (floor),fake,refuse_both,67,density_backtracking_testlex,0.0,0.0,0.0,0.0,False
baseline0 → baseline1 (floor),fake,refuse_both,67,density_example-testing_testlex,0.005830223880597015,-0.005830223880597015,-0.017490671641791043,0.0,False
baseline0 → baseline1 (floor),fake,refuse_both,67,density_initializing_testlex,0.0,0.005922767116796967,0.0,0.017768301350390904,False
baseline0 → baseline1 (floor),fake,refuse_both,67,n_deduction,9.970149253731343,0.11940298507462686,-1.2686567164179106,1.5522388059701493,False
baseline0 → baseline1 (floor),fake,refuse_both,67,n_adding-knowledge,4.298507462686567,0.19402985074626866,-0.40298507462686567,0.8511194029850726,False
baseline0 → baseline1 (floor),fake,refuse_both,67,n_uncertainty-estimation,1.6567164179104477,0.04477611940298507,-0.6272388059701492,0.746268656716418,False
baseline0 → baseline1 (floor),fake,refuse_both,67,n_backtracking,0.4626865671641791,-0.014925373134328358,-0.26865671641791045,0.26865671641791045,False
baseline0 → baseline1 (floor),fake,refuse_both,67,n_example-testing,0.1791044776119403,-0.014925373134328358,-0.208955223880597,0.16417910447761194,False
baseline0 → baseline1 (floor),fake,refuse_both,67,n_initializing,1.2686567164179106,0.16417910447761194,-0.014925373134328358,0.3582089552238806,False
baseline0 → baseline1 (floor),fake,comply_both,43,words,352.13953488372096,33.97674418604651,-35.885465116279065,113.30348837209301,False
baseline0 → baseline1 (floor),fake,comply_both,43,density_norm,0.6048774805284941,0.026178683292625023,-0.218654236944883,0.2702253875507423,False
baseline0 → baseline1 (floor),fake,comply_both,43,n_norm,1.9534883720930232,0.0,-0.7209302325581395,0.7209302325581395,False
baseline0 → baseline1 (floor),fake,comply_both,43,n_testlex_total,0.9302325581395349,-0.13953488372093023,-0.5116279069767442,0.2558139534883721,False
baseline0 → baseline1 (floor),fake,comply_both,43,density_deduction_nontest,3.93652922783831,-0.12725260190967497,-0.5775737521546047,0.3191893207189622,False
baseline0 → baseline1 (floor),fake,comply_both,43,density_adding-knowledge_nontest,1.6051698473106868,-0.09158514755495088,-0.36020893227321227,0.16898311295352583,False
baseline0 → baseline1 (floor),fake,comply_both,43,density_uncertainty-estimation_nontest,0.6167267031043048,0.10791251597319454,-0.1205743601137262,0.3481044755270527,False
baseline0 → baseline1 (floor),fake,comply_both,43,density_backtracking_nontest,0.20968156502749571,-0.0074177062977299965,-0.13024886665086347,0.12008879135368325,False
baseline0 → baseline1 (floor),fake,comply_both,43,density_example-testing_nontest,0.27983703044969166,0.03509701084818486,-0.13464860962335207,0.2134376422296886,False
baseline0 → baseline1 (floor),fake,comply_both,43,density_initializing_nontest,0.563989971545394,-0.09765093431800087,-0.2301410744299686,0.027574082507470454,False
baseline0 → baseline1 (floor),fake,comply_both,43,density_deduction_testlex,0.12002813960983083,-0.0014212851367620572,-0.08857751093302939,0.08159442175054327,False
baseline0 → baseline1 (floor),fake,comply_both,43,density_adding-knowledge_testlex,0.0558553066208412,-0.03840764787163332,-0.09235615947518921,0.008541383204476515,False
baseline0 → baseline1 (floor),fake,comply_both,43,density_uncertainty-estimation_testlex,0.11702049951723037,-0.016287858416356226,-0.10490545011110472,0.06642197107071078,False
baseline0 → baseline1 (floor),fake,comply_both,43,density_backtracking_testlex,0.005978358342799067,-0.005978358342799067,-0.0179350750283972,0.0,False
baseline0 → baseline1 (floor),fake,comply_both,43,density_example-testing_testlex,0.0,0.0,0.0,0.0,False
baseline0 → baseline1 (floor),fake,comply_both,43,density_initializing_testlex,0.0,0.0,0.0,0.0,False
baseline0 → baseline1 (floor),fake,comply_both,43,n_deduction,13.86046511627907,1.372093023255814,-1.813953488372093,5.023255813953488,False
baseline0 → baseline1 (floor),fake,comply_both,43,n_adding-knowledge,5.627906976744186,-0.3023255813953488,-1.4883720930232558,0.813953488372093,False
baseline0 → baseline1 (floor),fake,comply_both,43,n_uncertainty-estimation,2.7906976744186047,0.9302325581395349,-0.5348837209302325,2.5122093023255783,False
baseline0 → baseline1 (floor),fake,comply_both,43,n_backtracking,0.9534883720930233,-0.16279069767441862,-0.8372093023255814,0.4656976744186015,False
baseline0 → baseline1 (floor),fake,comply_both,43,n_example-testing,0.9302325581395349,0.11627906976744186,-0.4186046511627907,0.6511627906976745,False
baseline0 → baseline1 (floor),fake,comply_both,43,n_initializing,1.7906976744186047,-0.3023255813953488,-0.7441860465116279,0.11627906976744186,False
baseline0 → baseline1 (floor),fake,gained,21,words,261.95238095238096,108.47619047619048,20.760714285714286,216.33333333333334,True
baseline0 → baseline1 (floor),fake,gained,21,density_norm,2.186014740721252,-1.0790739457241654,-1.4070604536841524,-0.7394491514594129,True
baseline0 → baseline1 (floor),fake,gained,21,n_norm,5.428571428571429,-1.8095238095238095,-2.761904761904762,-0.6666666666666666,True
baseline0 → baseline1 (floor),fake,gained,21,n_testlex_total,1.1904761904761905,-0.3333333333333333,-0.9047619047619048,0.2857142857142857,False
baseline0 → baseline1 (floor),fake,gained,21,density_deduction_nontest,3.646281903091361,0.3425670242377197,-0.21779497819325064,0.9538421187138295,False
baseline0 → baseline1 (floor),fake,gained,21,density_adding-knowledge_nontest,1.7756400501770666,-0.5438229710924287,-0.8931678140394469,-0.2066739986935786,True
baseline0 → baseline1 (floor),fake,gained,21,density_uncertainty-estimation_nontest,0.6982348818513948,0.13367837107837918,-0.25370317841835865,0.5625712727285171,False
baseline0 → baseline1 (floor),fake,gained,21,density_backtracking_nontest,0.12033095840197051,0.030518322504035904,-0.1106631378111861,0.18472402106190905,False
baseline0 → baseline1 (floor),fake,gained,21,density_example-testing_nontest,0.07626611714707666,0.11846774055613908,-0.021863544458102617,0.2616908525791365,False
baseline0 → baseline1 (floor),fake,gained,21,density_initializing_nontest,0.5496726156586104,-0.18484535576074382,-0.35376484701952415,-0.03243009476328745,True
baseline0 → baseline1 (floor),fake,gained,21,density_deduction_testlex,0.28759669027625073,-0.154370630348198,-0.34415998694397193,0.031161344547282907,False
baseline0 → baseline1 (floor),fake,gained,21,density_adding-knowledge_testlex,0.032393909944930355,-0.013985949745925375,-0.0882975791595956,0.03745557924662403,False
baseline0 → baseline1 (floor),fake,gained,21,density_uncertainty-estimation_testlex,0.11203560367583855,-0.06323125159568513,-0.18008928526206827,0.04242733587049394,False
baseline0 → baseline1 (floor),fake,gained,21,density_backtracking_testlex,0.0,0.0,0.0,0.0,False
baseline0 → baseline1 (floor),fake,gained,21,density_example-testing_testlex,0.01434308663224326,-0.01434308663224326,-0.04302925989672978,0.0,False
baseline0 → baseline1 (floor),fake,gained,21,density_initializing_testlex,0.012975217334890361,0.017167436741665636,0.0,0.04321902415852673,False
baseline0 → baseline1 (floor),fake,gained,21,n_deduction,10.095238095238095,4.523809523809524,1.3333333333333333,8.476190476190476,True
baseline0 → baseline1 (floor),fake,gained,21,n_adding-knowledge,4.333333333333333,0.47619047619047616,-0.8571428571428571,2.0476190476190474,False
baseline0 → baseline1 (floor),fake,gained,21,n_uncertainty-estimation,2.238095238095238,1.1428571428571428,-0.47619047619047616,2.9523809523809526,False
baseline0 → baseline1 (floor),fake,gained,21,n_backtracking,0.38095238095238093,0.19047619047619047,-0.2857142857142857,0.7142857142857143,False
baseline0 → baseline1 (floor),fake,gained,21,n_example-testing,0.2857142857142857,0.5714285714285714,0.0,1.1904761904761905,False
baseline0 → baseline1 (floor),fake,gained,21,n_initializing,1.380952380952381,-0.09523809523809523,-0.5714285714285714,0.3333333333333333,False
prompt0 → prompt1 (floor),real,all,149,words,285.59060402684565,-1.919463087248322,-41.39060402684564,35.752516778523486,False
prompt0 → prompt1 (floor),real,all,149,density_norm,1.7304988825992167,0.018027190476315645,-0.16276010547738215,0.18474896143429267,False
prompt0 → prompt1 (floor),real,all,149,n_norm,4.369127516778524,0.013422818791946308,-0.44983221476510066,0.4563758389261745,False
prompt0 → prompt1 (floor),real,all,149,n_testlex_total,1.6375838926174497,-0.006711409395973154,-0.26174496644295303,0.2483221476510067,False
prompt0 → prompt1 (floor),real,all,149,density_deduction_nontest,3.565507942868195,-0.038292934627239816,-0.22774531071407747,0.1443306953722526,False
prompt0 → prompt1 (floor),real,all,149,density_adding-knowledge_nontest,1.7509083995225918,0.046592249385593774,-0.08780619378006875,0.1837517353217853,False
prompt0 → prompt1 (floor),real,all,149,density_uncertainty-estimation_nontest,0.4246949655235928,-0.008555283475839177,-0.10611728141875457,0.09235161477597659,False
prompt0 → prompt1 (floor),real,all,149,density_backtracking_nontest,0.1524763154975381,-0.015809300241278985,-0.07217957610728534,0.03996513866516322,False
prompt0 → prompt1 (floor),real,all,149,density_example-testing_nontest,0.08091452683857699,0.019555450530152695,-0.026468581762298802,0.06252510372776322,False
prompt0 → prompt1 (floor),real,all,149,density_initializing_nontest,0.5338911609737841,0.035987605561883275,-0.03484230583593771,0.10241253324242296,False
prompt0 → prompt1 (floor),real,all,149,density_deduction_testlex,0.34237482376925676,0.008143862003165267,-0.06847072785669434,0.09353359952933965,False
prompt0 → prompt1 (floor),real,all,149,density_adding-knowledge_testlex,0.07158761106811265,-0.008128137587048872,-0.042259240621604376,0.02470310088196609,False
prompt0 → prompt1 (floor),real,all,149,density_uncertainty-estimation_testlex,0.1796345043355739,0.0010103527592439723,-0.05688039279675372,0.057442561652122914,False
prompt0 → prompt1 (floor),real,all,149,density_backtracking_testlex,0.0053467598617221,0.00578613338725719,-0.005684840142432397,0.017920966062542457,False
prompt0 → prompt1 (floor),real,all,149,density_example-testing_testlex,0.002982848620432513,0.0033288216579121467,-0.008948545861297539,0.018935010835033978,False
prompt0 → prompt1 (floor),real,all,149,density_initializing_testlex,0.0,0.003242226761339688,0.0,0.009726680284019065,False
prompt0 → prompt1 (floor),real,all,149,n_deduction,10.798657718120806,0.006711409395973154,-1.161241610738255,1.2552013422818784,False
prompt0 → prompt1 (floor),real,all,149,n_adding-knowledge,4.932885906040268,-0.006711409395973154,-0.5102348993288591,0.4966442953020134,False
prompt0 → prompt1 (floor),real,all,149,n_uncertainty-estimation,1.9664429530201342,-0.09395973154362416,-0.7046979865771812,0.5503355704697986,False
prompt0 → prompt1 (floor),real,all,149,n_backtracking,0.6241610738255033,-0.06040268456375839,-0.5840604026845638,0.3691275167785235,False
prompt0 → prompt1 (floor),real,all,149,n_example-testing,0.30201342281879195,0.04697986577181208,-0.1342281879194631,0.2214765100671141,False
prompt0 → prompt1 (floor),real,all,149,n_initializing,1.3221476510067114,0.1342281879194631,-0.03355704697986577,0.30201342281879195,False
prompt0 → prompt1 (floor),real,refuse_both,91,words,241.92307692307693,1.3626373626373627,-17.508516483516484,23.046428571428557,False
