file,n_traces,n_annotation_failed,median_coverage,share_under_90,share_under_70,spans_not_found,traces_with_out_of_order,traces_with_extra,used_in_report
results/annotations/deepseek_qwen/triggers/alpha0.0.jsonl,211,2.0,1.0,0.014218009478672985,0.0,0.0,0.004739336492890996,0.0,False
results/annotations/deepseek_qwen/triggers/alpha0.05_aware.jsonl,212,1.0,1.0,0.009433962264150943,0.0,0.0,0.0,0.0,False
results/annotations/deepseek_qwen/triggers/alpha0.25.jsonl,212,1.0,1.0,0.02830188679245283,0.014150943396226415,0.006217896728845634,0.0,0.0,False
results/annotations/deepseek_qwen/triggers/alpha0.3.jsonl,211,2.0,1.0,0.04265402843601896,0.02843601895734597,0.010625581086465666,0.0,0.0,False
results/annotations/qwen3/actions/alpha0.0.jsonl,298,0.0,1.0,0.010067114093959731,0.003355704697986577,0.0013402259237985832,0.0,0.0,True
results/annotations/qwen3/actions/alpha0.043_aware.jsonl,298,0.0,1.0,0.020134228187919462,0.010067114093959731,0.001439625697318697,0.0,0.0,True
results/annotations/qwen3/actions/alpha0.053_aware.jsonl,295,3.0,1.0,0.09491525423728814,0.06779661016949153,0.003887449092928545,0.0,0.0,True
results/annotations/qwen3/actions/alpha0.05_aware.jsonl,295,3.0,1.0,0.05084745762711865,0.023728813559322035,0.0031004924311508297,0.0,0.0,True
results/annotations/qwen3/actions/alpha0.25.jsonl,297,1.0,1.0,0.013468013468013467,0.006734006734006734,0.005409304002884962,0.0,0.0,True
results/annotations/qwen3/actions/alpha0.3.jsonl,297,1.0,1.0,0.013468013468013467,0.006734006734006734,0.001163177135260884,0.0,0.0,True
results/annotations/qwen3/actions/alpha0.32.jsonl,298,0.0,1.0,0.03355704697986577,0.010067114093959731,0.0008399126490844952,0.0,0.0,True
results/annotations/qwen3/harmbench/alpha0.0.jsonl,102,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False
results/annotations/qwen3/harmbench/alpha0.043_aware.jsonl,99,0.0,1.0,0.020202020202020204,0.0,0.0,0.0,0.0,False
results/annotations/qwen3/harmbench/alpha0.25.jsonl,137,0.0,1.0,0.0072992700729927005,0.0072992700729927005,0.0,0.0,0.0,False
results/annotations/qwen3/triggers/alpha0.0.jsonl,373,0.0,1.0,0.005361930294906166,0.0,0.000172398931126627,0.0,0.0,False
results/annotations/qwen3/triggers/alpha0.04_aware.jsonl,372,1.0,1.0,0.010752688172043012,0.005376344086021506,0.0012582007728947605,0.002688172043010753,0.002688172043010753,False
results/annotations/qwen3/triggers/alpha0.2.jsonl,372,1.0,1.0,0.005376344086021506,0.0,0.00016890465332319906,0.0,0.0,False
results/annotations/qwen3/triggers/alpha0.25.jsonl,373,0.0,1.0,0.00804289544235925,0.0,0.0009314140558848434,0.0,0.0,False
results/annotations/qwq/actions/alpha0.0.jsonl,298,0.0,1.0,0.020134228187919462,0.0,0.00017467248908296942,0.0,0.0,True
results/annotations/qwq/actions/alpha0.05_aware.jsonl,298,0.0,1.0,0.010067114093959731,0.0,0.0016084928422068522,0.0,0.0,True
results/annotations/qwq/actions/alpha0.25.jsonl,298,0.0,1.0,0.010067114093959731,0.0,0.0,0.0,0.0,True
results/annotations/qwq/actions/alpha0.3.jsonl,298,0.0,1.0,0.010067114093959731,0.0,0.0007013852358407856,0.0,0.0,True
results/annotations/qwq/harmbench/alpha0.0.jsonl,101,0.0,1.0,0.009900990099009901,0.0,0.00021043771043771043,0.009900990099009901,0.009900990099009901,False
results/annotations/qwq/harmbench/alpha0.05_aware.jsonl,99,2.0,1.0,0.050505050505050504,0.0,0.002276019035795572,0.010101010101010102,0.010101010101010102,False
results/annotations/qwq/harmbench/alpha0.25.jsonl,100,1.0,1.0,0.02,0.0,0.004935459377372817,0.0,0.0,False
results/annotations/qwq/triggers/alpha0.0.jsonl,493,0.0,1.0,0.006085192697768763,0.0,0.0010862186014935506,0.002028397565922921,0.0,False
results/annotations/qwq/triggers/alpha0.05_aware.jsonl,492,1.0,1.0,0.008130081300813009,0.0020325203252032522,0.002266639192252215,0.0,0.0,False
results/annotations/qwq/triggers/alpha0.25.jsonl,493,0.0,1.0,0.004056795131845842,0.0,0.00013356484573260317,0.0,0.0,False
results/api_prompt/qwen3_32b_api/ask_bt_neg.json.annotations.jsonl,298,0.0,1.0,0.003355704697986577,0.0,0.00014040999719180006,0.0,0.0,True
results/api_prompt/qwen3_32b_api/ask_bt_pos.json.annotations.jsonl,298,0.0,1.0,0.003355704697986577,0.0,0.00015337423312883436,0.0,0.0,True
results/api_prompt/qwen3_32b_api/ask_unc_neg.json.annotations.jsonl,298,0.0,1.0,0.010067114093959731,0.0,0.0002926115581565472,0.003355704697986577,0.003355704697986577,True
results/api_prompt/qwen3_32b_api/ask_unc_pos.json.annotations.jsonl,298,0.0,1.0,0.006711409395973154,0.0,0.00014094432699083862,0.0,0.0,True
results/api_prompt/qwen3_32b_api/baseline.json.annotations.jsonl,298,0.0,1.0,0.013422818791946308,0.0,0.00016294606485253382,0.0,0.0,True
results/api_prompt/qwen3_32b_api/prompt_test.json.annotations.jsonl,298,0.0,1.0,0.006711409395973154,0.0,0.0004421518054532056,0.0,0.0,True
results/api_prompt/qwen3_32b_api_seed1/baseline.json.annotations.jsonl,298,0.0,1.0,0.003355704697986577,0.0,0.00047611490239644503,0.0,0.0,True
results/api_prompt/qwen3_32b_api_seed1/prompt_test.json.annotations.jsonl,298,0.0,1.0,0.003355704697986577,0.0,0.00030070666065253347,0.0,0.0,True
results/qwen3_4b/followups/f1_prompt/prompt_test.json.annotations.jsonl,298,0.0,1.0,0.02348993288590604,0.0,0.0013457139012245996,0.003355704697986577,0.003355704697986577,True
results/qwen3_4b/followups/f2_uncertainty/baseline.json.annotations.jsonl,120,0.0,1.0,0.0,0.0,0.0,0.008333333333333333,0.008333333333333333,True
results/qwen3_4b/followups/f2_uncertainty/unc_all_neg.json.annotations.jsonl,120,0.0,1.0,0.016666666666666666,0.008333333333333333,0.0022740193291642978,0.0,0.0,True
results/qwen3_4b/followups/f2_uncertainty/unc_all_pos.json.annotations.jsonl,120,0.0,1.0,0.0,0.0,0.0,0.0,0.0,True
results/qwen3_4b/followups/f2_uncertainty/unc_nontest_neg.json.annotations.jsonl,120,0.0,1.0,0.0,0.0,0.0002797985450475658,0.0,0.0,True
results/qwen3_4b/followups/f2_uncertainty/unc_nontest_pos.json.annotations.jsonl,120,0.0,1.0,0.008333333333333333,0.0,0.0,0.0,0.0,True
results/qwen3_4b/followups/f2_uncertainty/unc_testlex_neg.json.annotations.jsonl,120,0.0,1.0,0.0,0.0,0.0,0.0,0.0,True
results/qwen3_4b/followups/f2_uncertainty/unc_testlex_pos.json.annotations.jsonl,120,0.0,1.0,0.016666666666666666,0.0,0.00016795431642593214,0.0,0.0,True
results/qwen3_4b/followups/f4_prompt/ask_bt_neg.json.annotations.jsonl,149,0.0,1.0,0.026845637583892617,0.0,0.0,0.0,0.0,True
results/qwen3_4b/followups/f4_prompt/ask_bt_pos.json.annotations.jsonl,149,0.0,1.0,0.013422818791946308,0.013422818791946308,0.002457606291472106,0.0,0.0,True
results/qwen3_4b/followups/f4_prompt/ask_unc_neg.json.annotations.jsonl,149,0.0,1.0,0.006711409395973154,0.006711409395973154,0.0024882499308819463,0.0,0.0,True
results/qwen3_4b/followups/f4_prompt/ask_unc_pos.json.annotations.jsonl,149,0.0,1.0,0.020134228187919462,0.0,0.0010354646647683149,0.006711409395973154,0.0,True
results/qwen3_4b/followups/f4_reverse/bt_neg.json.annotations.jsonl,149,0.0,1.0,0.040268456375838924,0.0,0.0,0.0,0.0,True
results/qwen3_4b/followups/f4_reverse/bt_pos.json.annotations.jsonl,149,0.0,0.994492525570417,0.08053691275167785,0.0,0.000985585807564371,0.013422818791946308,0.013422818791946308,True
results/qwen3_4b/followups/f4_reverse/random_bt.json.annotations.jsonl,149,0.0,1.0,0.006711409395973154,0.006711409395973154,0.0005672149744753262,0.0,0.0,True
results/qwen3_4b/followups/f4_reverse/random_unc.json.annotations.jsonl,149,0.0,1.0,0.006711409395973154,0.0,0.0002834467120181406,0.0,0.0,True
results/qwen3_4b/followups/f4_reverse/shuffled_bt.json.annotations.jsonl,149,0.0,1.0,0.053691275167785234,0.013422818791946308,0.0008728542333430317,0.0,0.0,True
results/qwen3_4b/followups/f4_reverse/shuffled_unc.json.annotations.jsonl,149,0.0,0.9991902834008097,0.14093959731543623,0.013422818791946308,0.0030727866333781447,0.013422818791946308,0.013422818791946308,True
results/qwen3_4b/followups/f4_reverse/unc_neg.json.annotations.jsonl,149,0.0,1.0,0.020134228187919462,0.0,0.0013981125480601187,0.013422818791946308,0.006711409395973154,True
results/qwen3_4b/followups/f4_reverse/unc_pos.json.annotations.jsonl,149,0.0,1.0,0.04697986577181208,0.006711409395973154,0.002688172043010753,0.013422818791946308,0.006711409395973154,True
results/qwen3_4b/steering/aware.json.annotations.jsonl,298,0.0,1.0,0.020134228187919462,0.0,0.0005178663904712584,0.003355704697986577,0.003355704697986577,True
results/qwen3_4b/steering/aware_strong.json.annotations.jsonl,298,0.0,1.0,0.03355704697986577,0.0,0.0005226708480334509,0.0,0.0,True
results/qwen3_4b/steering/baseline.json.annotations.jsonl,298,0.0,1.0,0.010067114093959731,0.003355704697986577,0.002337091009073412,0.006711409395973154,0.006711409395973154,True
results/qwen3_4b/steering/baseline_seed1.json.annotations.jsonl,298,0.0,1.0,0.026845637583892617,0.003355704697986577,0.0009629935341862705,0.006711409395973154,0.003355704697986577,True
results/qwen3_4b/steering/random_aware.json.annotations.jsonl,298,0.0,1.0,0.030201342281879196,0.003355704697986577,0.0009389671361502347,0.0,0.0,True
results/qwen3_4b/steering/random_samerows_aware.json.annotations.jsonl,298,0.0,1.0,0.030201342281879196,0.003355704697986577,0.0013349352556401015,0.003355704697986577,0.003355704697986577,True
results/qwen3_4b/steering/shuffled_aware.json.annotations.jsonl,298,0.0,1.0,0.040268456375838924,0.0,0.0008091706001348617,0.0,0.0,True
results/qwen3_4b/steering/shuffled_samerows_aware.json.annotations.jsonl,298,0.0,1.0,0.016778523489932886,0.0,0.0010015739018457575,0.0,0.0,True
results/qwen3_4b/steering/unaware.json.annotations.jsonl,298,0.0,1.0,0.020134228187919462,0.003355704697986577,0.0008078632018311566,0.0,0.0,True
results/qwen3_4b/steering/unaware_strong.json.annotations.jsonl,298,0.0,1.0,0.016778523489932886,0.003355704697986577,0.0006702412868632708,0.003355704697986577,0.003355704697986577,True
"TOTAL, traces the report uses",14120,,1.0,0.019475920679886686,0.004320113314447592,0.001100009166743056,0.0013456090651558074,0.0010623229461756375,
"TOTAL, every annotated trace",18861,,1.0,0.017496421186575472,0.0040294788187264724,0.0012828299103878236,0.0012724669953873072,0.0009543502465404804,
