model,family,framing,arm,signed_alpha,aware_class,n_traces,behaviour,spans,testlex_spans,testlex_share
deepseek_qwen,actions_sampling,fake,alpha0.35,-0.35,n/a,88,initializing,146,0,0.0
deepseek_qwen,actions_sampling,fake,alpha0.35,-0.35,n/a,88,deduction,928,17,0.018318965517241378
deepseek_qwen,actions_sampling,fake,alpha0.35,-0.35,n/a,88,adding-knowledge,374,4,0.0106951871657754
deepseek_qwen,actions_sampling,fake,alpha0.35,-0.35,n/a,88,example-testing,28,1,0.03571428571428571
deepseek_qwen,actions_sampling,fake,alpha0.35,-0.35,n/a,88,uncertainty-estimation,157,6,0.03821656050955414
deepseek_qwen,actions_sampling,fake,alpha0.35,-0.35,n/a,88,backtracking,35,0,0.0
deepseek_qwen,actions_sampling,real,alpha0.0,0.0,n/a,149,initializing,229,0,0.0
deepseek_qwen,actions_sampling,real,alpha0.0,0.0,n/a,149,deduction,1433,18,0.01256106071179344
deepseek_qwen,actions_sampling,real,alpha0.0,0.0,n/a,149,adding-knowledge,645,1,0.0015503875968992248
deepseek_qwen,actions_sampling,real,alpha0.0,0.0,n/a,149,example-testing,31,0,0.0
deepseek_qwen,actions_sampling,real,alpha0.0,0.0,n/a,149,uncertainty-estimation,230,7,0.030434782608695653
deepseek_qwen,actions_sampling,real,alpha0.0,0.0,n/a,149,backtracking,44,0,0.0
deepseek_qwen,actions_sampling,real,alpha0.07_aware,0.07,n/a,148,initializing,220,0,0.0
deepseek_qwen,actions_sampling,real,alpha0.07_aware,0.07,n/a,148,deduction,1451,90,0.06202618883528601
deepseek_qwen,actions_sampling,real,alpha0.07_aware,0.07,n/a,148,adding-knowledge,664,27,0.04066265060240964
deepseek_qwen,actions_sampling,real,alpha0.07_aware,0.07,n/a,148,example-testing,51,11,0.21568627450980393
deepseek_qwen,actions_sampling,real,alpha0.07_aware,0.07,n/a,148,uncertainty-estimation,234,48,0.20512820512820512
deepseek_qwen,actions_sampling,real,alpha0.07_aware,0.07,n/a,148,backtracking,34,2,0.058823529411764705
deepseek_qwen,actions_sampling,real,alpha0.35,-0.35,n/a,88,initializing,135,0,0.0
deepseek_qwen,actions_sampling,real,alpha0.35,-0.35,n/a,88,deduction,858,12,0.013986013986013986
deepseek_qwen,actions_sampling,real,alpha0.35,-0.35,n/a,88,adding-knowledge,363,2,0.005509641873278237
deepseek_qwen,actions_sampling,real,alpha0.35,-0.35,n/a,88,example-testing,24,2,0.08333333333333333
deepseek_qwen,actions_sampling,real,alpha0.35,-0.35,n/a,88,uncertainty-estimation,111,5,0.04504504504504504
deepseek_qwen,actions_sampling,real,alpha0.35,-0.35,n/a,88,backtracking,21,0,0.0
deepseek_qwen,harmbench,single,alpha0.0,0.0,no,90,initializing,284,1,0.0035211267605633804
deepseek_qwen,harmbench,single,alpha0.0,0.0,no,90,deduction,2224,9,0.0040467625899280575
deepseek_qwen,harmbench,single,alpha0.0,0.0,no,90,adding-knowledge,914,3,0.0032822757111597373
deepseek_qwen,harmbench,single,alpha0.0,0.0,no,90,example-testing,313,5,0.01597444089456869
deepseek_qwen,harmbench,single,alpha0.0,0.0,no,90,uncertainty-estimation,555,3,0.005405405405405406
deepseek_qwen,harmbench,single,alpha0.0,0.0,no,90,backtracking,111,1,0.009009009009009009
deepseek_qwen,harmbench,single,alpha0.0,0.0,yes_or_maybe,7,initializing,13,0,0.0
deepseek_qwen,harmbench,single,alpha0.0,0.0,yes_or_maybe,7,deduction,122,3,0.02459016393442623
deepseek_qwen,harmbench,single,alpha0.0,0.0,yes_or_maybe,7,adding-knowledge,39,0,0.0
deepseek_qwen,harmbench,single,alpha0.0,0.0,yes_or_maybe,7,example-testing,3,1,0.3333333333333333
deepseek_qwen,harmbench,single,alpha0.0,0.0,yes_or_maybe,7,uncertainty-estimation,14,0,0.0
deepseek_qwen,harmbench,single,alpha0.0,0.0,yes_or_maybe,7,backtracking,7,0,0.0
deepseek_qwen,harmbench,single,alpha0.05_aware,0.05,no,76,initializing,242,2,0.008264462809917356
deepseek_qwen,harmbench,single,alpha0.05_aware,0.05,no,76,deduction,1762,15,0.00851305334846765
deepseek_qwen,harmbench,single,alpha0.05_aware,0.05,no,76,adding-knowledge,857,8,0.009334889148191364
deepseek_qwen,harmbench,single,alpha0.05_aware,0.05,no,76,example-testing,295,5,0.01694915254237288
deepseek_qwen,harmbench,single,alpha0.05_aware,0.05,no,76,uncertainty-estimation,493,9,0.018255578093306288
deepseek_qwen,harmbench,single,alpha0.05_aware,0.05,no,76,backtracking,88,0,0.0
deepseek_qwen,harmbench,single,alpha0.05_aware,0.05,yes_or_maybe,19,initializing,40,0,0.0
deepseek_qwen,harmbench,single,alpha0.05_aware,0.05,yes_or_maybe,19,deduction,297,19,0.06397306397306397
deepseek_qwen,harmbench,single,alpha0.05_aware,0.05,yes_or_maybe,19,adding-knowledge,92,1,0.010869565217391304
deepseek_qwen,harmbench,single,alpha0.05_aware,0.05,yes_or_maybe,19,example-testing,40,14,0.35
deepseek_qwen,harmbench,single,alpha0.05_aware,0.05,yes_or_maybe,19,uncertainty-estimation,62,11,0.1774193548387097
deepseek_qwen,harmbench,single,alpha0.05_aware,0.05,yes_or_maybe,19,backtracking,8,0,0.0
deepseek_qwen,harmbench,single,alpha0.25,-0.25,no,94,initializing,261,2,0.007662835249042145
deepseek_qwen,harmbench,single,alpha0.25,-0.25,no,94,deduction,2014,30,0.014895729890764648
deepseek_qwen,harmbench,single,alpha0.25,-0.25,no,94,adding-knowledge,832,8,0.009615384615384616
deepseek_qwen,harmbench,single,alpha0.25,-0.25,no,94,example-testing,296,6,0.02027027027027027
deepseek_qwen,harmbench,single,alpha0.25,-0.25,no,94,uncertainty-estimation,577,5,0.008665511265164644
deepseek_qwen,harmbench,single,alpha0.25,-0.25,no,94,backtracking,97,2,0.020618556701030927
deepseek_qwen,triggers,hypothetical,alpha0.0,0.0,no,186,initializing,406,6,0.014778325123152709
deepseek_qwen,triggers,hypothetical,alpha0.0,0.0,no,186,deduction,3706,42,0.011332973556395036
deepseek_qwen,triggers,hypothetical,alpha0.0,0.0,no,186,adding-knowledge,1463,16,0.010936431989063569
deepseek_qwen,triggers,hypothetical,alpha0.0,0.0,no,186,example-testing,489,10,0.02044989775051125
deepseek_qwen,triggers,hypothetical,alpha0.0,0.0,no,186,uncertainty-estimation,435,16,0.0367816091954023
deepseek_qwen,triggers,hypothetical,alpha0.0,0.0,no,186,backtracking,139,4,0.02877697841726619
deepseek_qwen,triggers,hypothetical,alpha0.0,0.0,yes_or_maybe,25,initializing,47,1,0.02127659574468085
deepseek_qwen,triggers,hypothetical,alpha0.0,0.0,yes_or_maybe,25,deduction,424,9,0.02122641509433962
deepseek_qwen,triggers,hypothetical,alpha0.0,0.0,yes_or_maybe,25,adding-knowledge,111,3,0.02702702702702703
deepseek_qwen,triggers,hypothetical,alpha0.0,0.0,yes_or_maybe,25,example-testing,75,2,0.02666666666666667
deepseek_qwen,triggers,hypothetical,alpha0.0,0.0,yes_or_maybe,25,uncertainty-estimation,67,8,0.11940298507462686
deepseek_qwen,triggers,hypothetical,alpha0.0,0.0,yes_or_maybe,25,backtracking,19,1,0.05263157894736842
deepseek_qwen,triggers,hypothetical,alpha0.05_aware,0.05,no,151,initializing,342,12,0.03508771929824561
deepseek_qwen,triggers,hypothetical,alpha0.05_aware,0.05,no,151,deduction,3359,128,0.038106579339089015
deepseek_qwen,triggers,hypothetical,alpha0.05_aware,0.05,no,151,adding-knowledge,1040,41,0.03942307692307692
deepseek_qwen,triggers,hypothetical,alpha0.05_aware,0.05,no,151,example-testing,437,6,0.013729977116704805
deepseek_qwen,triggers,hypothetical,alpha0.05_aware,0.05,no,151,uncertainty-estimation,382,42,0.1099476439790576
deepseek_qwen,triggers,hypothetical,alpha0.05_aware,0.05,no,151,backtracking,92,12,0.13043478260869565
deepseek_qwen,triggers,hypothetical,alpha0.05_aware,0.05,yes_or_maybe,59,initializing,121,2,0.01652892561983471
deepseek_qwen,triggers,hypothetical,alpha0.05_aware,0.05,yes_or_maybe,59,deduction,842,58,0.0688836104513064
deepseek_qwen,triggers,hypothetical,alpha0.05_aware,0.05,yes_or_maybe,59,adding-knowledge,366,29,0.07923497267759563
deepseek_qwen,triggers,hypothetical,alpha0.05_aware,0.05,yes_or_maybe,59,example-testing,54,1,0.018518518518518517
deepseek_qwen,triggers,hypothetical,alpha0.05_aware,0.05,yes_or_maybe,59,uncertainty-estimation,173,56,0.3236994219653179
deepseek_qwen,triggers,hypothetical,alpha0.05_aware,0.05,yes_or_maybe,59,backtracking,40,7,0.175
deepseek_qwen,triggers,hypothetical,alpha0.25,-0.25,no,200,initializing,388,5,0.01288659793814433
deepseek_qwen,triggers,hypothetical,alpha0.25,-0.25,no,200,deduction,4007,46,0.011479910157224856
deepseek_qwen,triggers,hypothetical,alpha0.25,-0.25,no,200,adding-knowledge,1350,18,0.013333333333333334
deepseek_qwen,triggers,hypothetical,alpha0.25,-0.25,no,200,example-testing,496,5,0.010080645161290322
deepseek_qwen,triggers,hypothetical,alpha0.25,-0.25,no,200,uncertainty-estimation,462,14,0.030303030303030304
deepseek_qwen,triggers,hypothetical,alpha0.25,-0.25,no,200,backtracking,123,3,0.024390243902439025
deepseek_qwen,triggers,hypothetical,alpha0.25,-0.25,yes_or_maybe,10,initializing,19,0,0.0
deepseek_qwen,triggers,hypothetical,alpha0.25,-0.25,yes_or_maybe,10,deduction,150,10,0.06666666666666667
deepseek_qwen,triggers,hypothetical,alpha0.25,-0.25,yes_or_maybe,10,adding-knowledge,97,3,0.030927835051546393
deepseek_qwen,triggers,hypothetical,alpha0.25,-0.25,yes_or_maybe,10,example-testing,18,0,0.0
deepseek_qwen,triggers,hypothetical,alpha0.25,-0.25,yes_or_maybe,10,uncertainty-estimation,24,5,0.20833333333333334
deepseek_qwen,triggers,hypothetical,alpha0.25,-0.25,yes_or_maybe,10,backtracking,8,1,0.125
deepseek_qwen,triggers,hypothetical,alpha0.3,-0.3,no,206,initializing,437,3,0.006864988558352402
deepseek_qwen,triggers,hypothetical,alpha0.3,-0.3,no,206,deduction,4080,54,0.013235294117647059
deepseek_qwen,triggers,hypothetical,alpha0.3,-0.3,no,206,adding-knowledge,1413,21,0.014861995753715499
deepseek_qwen,triggers,hypothetical,alpha0.3,-0.3,no,206,example-testing,632,15,0.023734177215189875
deepseek_qwen,triggers,hypothetical,alpha0.3,-0.3,no,206,uncertainty-estimation,528,31,0.058712121212121215
deepseek_qwen,triggers,hypothetical,alpha0.3,-0.3,no,206,backtracking,149,7,0.04697986577181208
qwen3,actions,fake,alpha0.0,0.0,n/a,149,initializing,221,2,0.00904977375565611
qwen3,actions,fake,alpha0.0,0.0,n/a,149,deduction,1433,88,0.061409630146545706
qwen3,actions,fake,alpha0.0,0.0,n/a,149,adding-knowledge,675,12,0.017777777777777778
qwen3,actions,fake,alpha0.0,0.0,n/a,149,example-testing,63,2,0.031746031746031744
qwen3,actions,fake,alpha0.0,0.0,n/a,149,uncertainty-estimation,227,37,0.16299559471365638
qwen3,actions,fake,alpha0.0,0.0,n/a,149,backtracking,70,1,0.014285714285714285
qwen3,actions,fake,alpha0.043_aware,0.043,n/a,149,initializing,234,2,0.008547008547008548
qwen3,actions,fake,alpha0.043_aware,0.043,n/a,149,deduction,1541,176,0.11421155094094744
qwen3,actions,fake,alpha0.043_aware,0.043,n/a,149,adding-knowledge,657,29,0.0441400304414003
qwen3,actions,fake,alpha0.043_aware,0.043,n/a,149,example-testing,74,5,0.06756756756756757
qwen3,actions,fake,alpha0.043_aware,0.043,n/a,149,uncertainty-estimation,299,98,0.3277591973244147
qwen3,actions,fake,alpha0.043_aware,0.043,n/a,149,backtracking,57,4,0.07017543859649122
qwen3,actions,fake,alpha0.053_aware,0.053,n/a,147,initializing,233,2,0.008583690987124463
qwen3,actions,fake,alpha0.053_aware,0.053,n/a,147,deduction,1489,164,0.11014103425117529
qwen3,actions,fake,alpha0.053_aware,0.053,n/a,147,adding-knowledge,621,26,0.04186795491143317
qwen3,actions,fake,alpha0.053_aware,0.053,n/a,147,example-testing,52,2,0.038461538461538464
qwen3,actions,fake,alpha0.053_aware,0.053,n/a,147,uncertainty-estimation,262,103,0.3931297709923664
qwen3,actions,fake,alpha0.053_aware,0.053,n/a,147,backtracking,73,3,0.0410958904109589
qwen3,actions,fake,alpha0.05_aware,0.05,n/a,148,initializing,235,1,0.00425531914893617
qwen3,actions,fake,alpha0.05_aware,0.05,n/a,148,deduction,1523,170,0.11162179908076166
qwen3,actions,fake,alpha0.05_aware,0.05,n/a,148,adding-knowledge,663,37,0.05580693815987934
qwen3,actions,fake,alpha0.05_aware,0.05,n/a,148,example-testing,77,13,0.16883116883116883
qwen3,actions,fake,alpha0.05_aware,0.05,n/a,148,uncertainty-estimation,290,108,0.3724137931034483
qwen3,actions,fake,alpha0.05_aware,0.05,n/a,148,backtracking,62,2,0.03225806451612903
qwen3,actions,fake,alpha0.25,-0.25,n/a,148,initializing,209,2,0.009569377990430622
qwen3,actions,fake,alpha0.25,-0.25,n/a,148,deduction,1456,46,0.03159340659340659
qwen3,actions,fake,alpha0.25,-0.25,n/a,148,adding-knowledge,670,10,0.014925373134328358
qwen3,actions,fake,alpha0.25,-0.25,n/a,148,example-testing,76,1,0.013157894736842105
qwen3,actions,fake,alpha0.25,-0.25,n/a,148,uncertainty-estimation,308,35,0.11363636363636363
qwen3,actions,fake,alpha0.25,-0.25,n/a,148,backtracking,81,0,0.0
qwen3,actions,fake,alpha0.3,-0.3,n/a,148,initializing,230,3,0.013043478260869565
qwen3,actions,fake,alpha0.3,-0.3,n/a,148,deduction,1673,43,0.025702331141661684
qwen3,actions,fake,alpha0.3,-0.3,n/a,148,adding-knowledge,676,9,0.013313609467455622
qwen3,actions,fake,alpha0.3,-0.3,n/a,148,example-testing,125,6,0.048
qwen3,actions,fake,alpha0.3,-0.3,n/a,148,uncertainty-estimation,386,34,0.08808290155440414
qwen3,actions,fake,alpha0.3,-0.3,n/a,148,backtracking,86,1,0.011627906976744186
qwen3,actions,fake,alpha0.32,-0.32,n/a,149,initializing,231,3,0.012987012987012988
qwen3,actions,fake,alpha0.32,-0.32,n/a,149,deduction,1514,43,0.028401585204755615
qwen3,actions,fake,alpha0.32,-0.32,n/a,149,adding-knowledge,687,8,0.011644832605531296
qwen3,actions,fake,alpha0.32,-0.32,n/a,149,example-testing,106,0,0.0
qwen3,actions,fake,alpha0.32,-0.32,n/a,149,uncertainty-estimation,337,43,0.12759643916913946
qwen3,actions,fake,alpha0.32,-0.32,n/a,149,backtracking,106,2,0.018867924528301886
qwen3,actions,real,alpha0.0,0.0,n/a,149,initializing,228,0,0.0
qwen3,actions,real,alpha0.0,0.0,n/a,149,deduction,1315,102,0.07756653992395438
qwen3,actions,real,alpha0.0,0.0,n/a,149,adding-knowledge,684,5,0.007309941520467836
qwen3,actions,real,alpha0.0,0.0,n/a,149,example-testing,55,3,0.05454545454545454
qwen3,actions,real,alpha0.0,0.0,n/a,149,uncertainty-estimation,192,34,0.17708333333333334
qwen3,actions,real,alpha0.0,0.0,n/a,149,backtracking,52,0,0.0
qwen3,actions,real,alpha0.043_aware,0.043,n/a,149,initializing,243,0,0.0
qwen3,actions,real,alpha0.043_aware,0.043,n/a,149,deduction,1388,156,0.11239193083573487
qwen3,actions,real,alpha0.043_aware,0.043,n/a,149,adding-knowledge,704,23,0.032670454545454544
qwen3,actions,real,alpha0.043_aware,0.043,n/a,149,example-testing,33,3,0.09090909090909091
qwen3,actions,real,alpha0.043_aware,0.043,n/a,149,uncertainty-estimation,269,108,0.40148698884758366
qwen3,actions,real,alpha0.043_aware,0.043,n/a,149,backtracking,50,0,0.0
qwen3,actions,real,alpha0.053_aware,0.053,n/a,148,initializing,255,2,0.00784313725490196
qwen3,actions,real,alpha0.053_aware,0.053,n/a,148,deduction,1337,190,0.14210919970082272
qwen3,actions,real,alpha0.053_aware,0.053,n/a,148,adding-knowledge,705,32,0.04539007092198582
qwen3,actions,real,alpha0.053_aware,0.053,n/a,148,example-testing,52,6,0.11538461538461539
qwen3,actions,real,alpha0.053_aware,0.053,n/a,148,uncertainty-estimation,233,82,0.351931330472103
qwen3,actions,real,alpha0.053_aware,0.053,n/a,148,backtracking,68,2,0.029411764705882353
qwen3,actions,real,alpha0.05_aware,0.05,n/a,147,initializing,247,0,0.0
qwen3,actions,real,alpha0.05_aware,0.05,n/a,147,deduction,1361,176,0.1293166789125643
qwen3,actions,real,alpha0.05_aware,0.05,n/a,147,adding-knowledge,705,26,0.03687943262411347
qwen3,actions,real,alpha0.05_aware,0.05,n/a,147,example-testing,38,2,0.05263157894736842
qwen3,actions,real,alpha0.05_aware,0.05,n/a,147,uncertainty-estimation,217,91,0.41935483870967744
qwen3,actions,real,alpha0.05_aware,0.05,n/a,147,backtracking,48,1,0.020833333333333332
qwen3,actions,real,alpha0.25,-0.25,n/a,149,initializing,199,0,0.0
qwen3,actions,real,alpha0.25,-0.25,n/a,149,deduction,1424,54,0.037921348314606744
qwen3,actions,real,alpha0.25,-0.25,n/a,149,adding-knowledge,664,3,0.004518072289156626
qwen3,actions,real,alpha0.25,-0.25,n/a,149,example-testing,73,1,0.0136986301369863
qwen3,actions,real,alpha0.25,-0.25,n/a,149,uncertainty-estimation,293,25,0.08532423208191127
qwen3,actions,real,alpha0.25,-0.25,n/a,149,backtracking,61,1,0.01639344262295082
qwen3,actions,real,alpha0.3,-0.3,n/a,149,initializing,209,0,0.0
qwen3,actions,real,alpha0.3,-0.3,n/a,149,deduction,1456,56,0.038461538461538464
qwen3,actions,real,alpha0.3,-0.3,n/a,149,adding-knowledge,677,2,0.0029542097488921715
qwen3,actions,real,alpha0.3,-0.3,n/a,149,example-testing,91,6,0.06593406593406594
qwen3,actions,real,alpha0.3,-0.3,n/a,149,uncertainty-estimation,283,18,0.0636042402826855
qwen3,actions,real,alpha0.3,-0.3,n/a,149,backtracking,119,0,0.0
qwen3,actions,real,alpha0.32,-0.32,n/a,149,initializing,225,1,0.0044444444444444444
qwen3,actions,real,alpha0.32,-0.32,n/a,149,deduction,1556,63,0.04048843187660668
qwen3,actions,real,alpha0.32,-0.32,n/a,149,adding-knowledge,664,3,0.004518072289156626
qwen3,actions,real,alpha0.32,-0.32,n/a,149,example-testing,87,1,0.011494252873563218
qwen3,actions,real,alpha0.32,-0.32,n/a,149,uncertainty-estimation,331,24,0.07250755287009064
qwen3,actions,real,alpha0.32,-0.32,n/a,149,backtracking,103,1,0.009708737864077669
qwen3,harmbench,single,alpha0.0,0.0,no,87,initializing,169,1,0.005917159763313609
qwen3,harmbench,single,alpha0.0,0.0,no,87,deduction,1071,49,0.0457516339869281
qwen3,harmbench,single,alpha0.0,0.0,no,87,adding-knowledge,466,3,0.006437768240343348
qwen3,harmbench,single,alpha0.0,0.0,no,87,example-testing,93,3,0.03225806451612903
qwen3,harmbench,single,alpha0.0,0.0,no,87,uncertainty-estimation,211,12,0.05687203791469194
qwen3,harmbench,single,alpha0.0,0.0,no,87,backtracking,19,0,0.0
