model,family,arm,signed_alpha,n,n_annotated,n_ok,n_judge_fail,n_error,n_truncated,n_no_think_close,mean_words,mean_spans,spans_total,spans_not_found_exact,spans_found_norm_only,spans_not_found,spans_unknown_label,mean_labeled_fraction,mean_repetition,not_found_exact_rate,found_norm_only_rate,not_found_rate,unknown_label_rate
deepseek_qwen,harmbench,alpha0.05_aware,0.05,99,99,95,0,4,0,0,661.4947368421052,45.01052631578948,4293.0,17.0,0.0,17.0,0.0,0.9881466166926797,0.017783984484647426,0.00395993477754484,0.0,0.00395993477754484,0.0
deepseek_qwen,harmbench,alpha0.25,-0.25,99,99,95,1,3,0,1,663.09375,44.083333333333336,4233.0,1.0,1.0,0.0,0.0,0.9855123418768917,0.026465300866360595,0.00023623907394283014,0.00023623907394283014,0.0,0.0
deepseek_qwen,triggers,alpha0.0,0.0,213,213,211,0,2,1,0,537.914691943128,34.981042654028435,7382.0,1.0,1.0,0.0,0.0,0.9934710645159384,0.010542313858003562,0.000135464643727987,0.000135464643727987,0.0,0.0
deepseek_qwen,triggers,alpha0.05_aware,0.05,213,213,212,0,1,0,2,559.4198113207547,36.16509433962264,7669.0,2.0,2.0,0.0,0.0,0.9941853099777251,0.01228828245904027,0.0002607901942886947,0.0002607901942886947,0.0,0.0
deepseek_qwen,triggers,alpha0.25,-0.25,213,213,211,1,1,0,1,543.6792452830189,34.679245283018865,7398.0,46.0,1.0,45.0,0.0,0.9815534035628061,0.013741020426118253,0.006217896728845634,0.00013517166801838335,0.006082725060827251,0.0
deepseek_qwen,triggers,alpha0.3,-0.3,213,213,209,2,2,1,2,560.5023696682465,35.29383886255924,7529.0,82.0,4.0,78.0,0.0,0.9637934204185337,0.014534648940768993,0.010891220613627307,0.0005312790543232833,0.010359941559304024,0.0
qwen3,actions,alpha0.0,0.0,298,298,298,0,0,0,0,244.08724832214764,17.5,5223.0,8.0,1.0,7.0,0.0,0.9906683673244798,0.006921584716024328,0.0015316867700555237,0.00019146084625694046,0.0013402259237985832,0.0
qwen3,actions,alpha0.043_aware,0.043,298,298,298,0,0,0,2,287.0503355704698,18.620805369127517,5557.0,8.0,0.0,8.0,0.0,0.98516769524335,0.014889333127166103,0.001439625697318697,0.0,0.001439625697318697,0.0
qwen3,actions,alpha0.053_aware,0.053,298,298,295,0,3,2,22,448.06779661016947,18.23728813559322,5402.0,22.0,3.0,19.0,0.0,0.930553908140613,0.07195518417380303,0.004072565716401333,0.0005553498704183636,0.003517215845982969,0.0
qwen3,actions,alpha0.05_aware,0.05,298,298,295,0,3,3,10,326.2813559322034,18.528813559322035,5483.0,17.0,2.0,15.0,0.0,0.9673751168721767,0.03236820236505936,0.0031004924311508297,0.0003647638154295094,0.0027357286157213205,0.0
qwen3,actions,alpha0.25,-0.25,298,298,297,0,1,1,1,261.3097643097643,18.565656565656564,5546.0,32.0,3.0,29.0,0.0,0.9876097242655316,0.01089070472682462,0.00576992426974396,0.0005409304002884963,0.005228993869455464,0.0
qwen3,actions,alpha0.3,-0.3,298,298,297,0,1,1,3,309.0740740740741,20.23905723905724,6018.0,6.0,1.0,5.0,1.0,0.9856221152513346,0.02156445611452576,0.0009970089730807576,0.00016616816218012627,0.0008308408109006315,0.00016616816218012627
qwen3,actions,alpha0.32,-0.32,298,298,298,0,0,0,3,313.5402684563758,19.956375838926174,5953.0,6.0,1.0,5.0,0.0,0.9815239131800352,0.023959856805356488,0.0010078951789013943,0.00016798252981689904,0.0008399126490844952,0.0
qwen3,harmbench,alpha0.0,0.0,102,102,102,0,0,0,0,356.9117647058824,23.245098039215687,2393.0,21.0,21.0,0.0,1.0,0.9930599219315759,0.00884534016016507,0.008775595486836606,0.008775595486836606,0.0,0.0004178854993731718
qwen3,harmbench,alpha0.043_aware,0.043,99,99,99,0,0,0,0,359.72727272727275,23.727272727272727,2351.0,2.0,2.0,0.0,0.0,0.9936398643110892,0.01000237579669849,0.0008507018290089324,0.0008507018290089324,0.0,0.0
qwen3,harmbench,alpha0.25,-0.25,137,137,137,0,0,0,1,402.985401459854,25.197080291970803,3456.0,2.0,2.0,0.0,2.0,0.991643524800732,0.019052994995830182,0.0005787037037037037,0.0005787037037037037,0.0,0.0005787037037037037
qwen3,triggers,alpha0.0,0.0,373,373,373,0,0,0,2,433.9919571045576,31.048257372654156,11601.0,17.0,17.0,0.0,3.0,0.9946018549991273,0.007130358849458236,0.0014653909145763296,0.0014653909145763296,0.0,0.0002585983966899405
qwen3,triggers,alpha0.04_aware,0.04,373,373,372,0,1,0,4,457.51612903225805,29.798387096774192,11127.0,41.0,27.0,14.0,1.0,0.9899407874150642,0.010553757012984687,0.003684730834906084,0.0024265300620113237,0.0012582007728947605,8.987148377819718e-05
qwen3,triggers,alpha0.2,-0.2,373,373,372,0,1,0,0,465.7876344086022,31.817204301075268,11841.0,5.0,3.0,2.0,0.0,0.9946554674187038,0.009503793197958143,0.0004222616333079976,0.0002533569799847986,0.00016890465332319906,0.0
qwen3,triggers,alpha0.25,-0.25,373,373,373,0,0,0,0,473.5013404825737,31.61662198391421,11810.0,15.0,7.0,8.0,2.0,0.9937415457398843,0.010117733751192126,0.0012701100762066045,0.0005927180355630821,0.0006773920406435225,0.00016934801016088062
qwq,actions,alpha0.0,0.0,298,298,298,0,0,0,0,248.05369127516778,19.164429530201343,5725.0,14.0,14.0,0.0,0.0,0.9872879150295804,0.006174814869433294,0.002445414847161572,0.002445414847161572,0.0,0.0
qwq,actions,alpha0.05_aware,0.05,298,298,298,0,0,0,0,265.59060402684565,20.822147651006713,6217.0,12.0,3.0,9.0,0.0,0.9894257303964396,0.010383635983209974,0.0019301914106482226,0.00048254785266205565,0.001447643557986167,0.0
qwq,actions,alpha0.25,-0.25,298,298,298,0,0,0,0,241.01677852348993,19.02013422818792,5676.0,8.0,8.0,0.0,0.0,0.9921437251602649,0.005477664791631917,0.0014094432699083862,0.0014094432699083862,0.0,0.0
qwq,actions,alpha0.3,-0.3,298,298,298,0,0,0,0,238.4295302013423,19.107382550335572,5703.0,9.0,6.0,3.0,0.0,0.9902024758115205,0.005894586248457675,0.0015781167806417674,0.0010520778537611783,0.0005260389268805891,0.0
qwq,harmbench,alpha0.0,0.0,101,101,101,0,0,0,4,685.6534653465346,46.633663366336634,4752.0,42.0,41.0,1.0,0.0,0.988245712874286,0.024836168403743145,0.008838383838383838,0.008627946127946129,0.00021043771043771043,0.0
qwq,harmbench,alpha0.05_aware,0.05,101,101,99,0,2,0,5,715.6060606060606,48.2020202020202,4833.0,61.0,50.0,11.0,0.0,0.9817515694342985,0.027286428025347,0.012621560107593627,0.010345541071798055,0.002276019035795572,0.0
qwq,harmbench,alpha0.25,-0.25,101,101,100,0,1,0,4,712.52,51.99,5268.0,69.0,68.0,1.0,0.0,0.983927552225465,0.027933132450562663,0.013097949886104784,0.012908124525436599,0.00018982536066818528,0.0
qwq,triggers,alpha0.0,0.0,493,493,493,0,0,0,3,409.1419878296146,29.801217038539555,14730.0,37.0,29.0,8.0,1.0,0.9930804871073385,0.00657660549878654,0.002511880515953836,0.0019687712152070603,0.0005431093007467753,6.788866259334691e-05
qwq,triggers,alpha0.05_aware,0.05,493,493,492,0,1,1,3,409.1361788617886,29.473577235772357,14559.0,58.0,26.0,32.0,0.0,0.9901811579708717,0.008553946306974989,0.00398379009547359,0.00178583693935023,0.0021979531561233602,0.0
qwq,triggers,alpha0.25,-0.25,493,493,493,0,0,0,1,422.2312373225152,30.31237322515213,14974.0,27.0,26.0,1.0,3.0,0.9926863827088871,0.006644400679658823,0.0018031254173901429,0.0017363429945238414,6.678242286630158e-05,0.00020034726859890478
